Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
1997.06.02,1997,Unprovoked,USA,Florida,"Daytona Beach Shores,  Volusia County","Body surfing, stood up on sandbar",M,Injured,N,1.2 m [4'] shark (spinner shark?)
1997.05.31.c,1997,Unprovoked,USA,Florida,In Gulf of Mexico 17 miles off Weeki Wachee ,Spearfishing,M,Injured,N,4' shark
1997.05.31.b,1997,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,M,Bitten,N,Possibly a sand shark
1997.05.31.a,1997,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,M,Bitten,N,Possibly a sand shark
1997.05.26,1997,Unprovoked,BAHAMAS,Abaco Islands,Powell Cay,Spearfishing,M,Bitten,N,Possibly a Caribbean reef shark
1997.05.17,1997,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,Spearfishing,M,Bitten,N,
1997.04.20,1997,Unprovoked,BRAZIL,Rio de Janeiro,"Manguinhos, Ilha Feia, Búzios",Windsurfing,M,Bitten,N,3.7m  to 4.2 m white shark
1997.02.28.b,1997,Unprovoked,AUSTRALIA,Queensland,"Carrara, Nerang River",Swimming,F,Bitten,N,a small shark
1997.02.28.a,1997,Unprovoked,AUSTRALIA,Queensland,Whitsunday Passage,Scuba diving,M,Bitten,N,"Tiger shark, 2m to 3m "
1997.02.21,1997,Unprovoked,USA,Hawaii,"Sunset Beach, O'ahu",,M,Unknown,0,
1997.02.20,1997,Unprovoked,REUNION,L'Etang-Sale,,,M,Injured,N,
1997.02.03,1997,Boat,AUSTRALIA,New South Wales,"Iron Cove, Sydney",Rowing ,F,Injured,N,
1997.01.25,1997,Unprovoked,AUSTRALIA,Queensland,"Whitehaven Beach, Whitsundays Island",Snorkeling,M,Injured,N,1.8 m to 2.1 m [6' to 7'] shark
1997.01.20,1997,Unprovoked,AUSTRALIA,Western Australia,Geraldton,Windsurfing,M,Fatal,Y,"Tiger shark, 4.5 m [14'9""]"
1997.01.03.a,1997,Unprovoked,REUNION,,la Pointe-au-Sel,Spearfishing,M,Fatal,Y,Bull shark
1997.01.01,1997,Boat,AUSTRALIA,Victoria,"Seal Rocks, Phillip Island",Watching seals,0,No injury,N,White shark
1996.12.29,1996,Unprovoked,AUSTRALIA,Queensland,Coolum Beach,Surfing,M,Unknown,0,
1996.12.10,1996,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Duck Pond, Sardina Bay near Port Elizabeth",Surfing,M,Bitten,N,White shark
1996.12.00.b,1996,Unprovoked,NEW CALEDONIA,,,Spearfishing,M,Fatal,Y,
1996.12.00.a,1996,Unprovoked,NEW CALEDONIA,South Province,L'llot Maetre,Attempting to attract dolphins,F,Bitten,N,
1996.11.29.a,1996,Unprovoked,USA,California,"Salmon Creek Beach, Sonoma County",Surfing,M,Bitten,N,3 m to 5 m [10' to 16.5'] white shark
1996.11.18,1996,Unprovoked,USA,Florida,"Coral Cove Park, Palm Beach County",Surfing,M,Bitten,N,
1996.10.28.b,1996,Unprovoked,BRAZIL,Pernambuco,Barra de Jangada,Surfing,0,Bitten,N,
1996.10.28.a,1996,Unprovoked,BRAZIL,Pernambuco,Barra de Jangada,Surfing,M,Unknown,N,
1996.10.09,1996,Unprovoked,OKINAWA,Miyako Island,Boragawa Beach,Swimming or snorkeling,M,Fatal,Y,
1996.10.05.,1996,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,M,Bitten,N,5.5 m to 6 m [18' to 20'] white shark
1996.10.03.b,1996,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,Injured,N,1.2 m [4'] shark
1996.10.03.a,1996,Unprovoked,USA,California,"North Salmon Creek Beach, Sonoma County",Surfing,M,Injured,N,5 m [16.5'] white shark
1996.10.00,1996,Unprovoked,BRAZIL,Pernambuco,,,0,Unknown,N,
1996.09.18,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,Injured,N,
1996.09.06.b,1996,Unprovoked,NEW ZEALAND,Chatham Islands ,Waihere Bay,Diving for abalone,M,Severed,N,White shark
1996.09.06.a,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing / Swimming,M,Injured,N,"""a young shark"""
1996.09.02.b,1996,Unprovoked,USA,Florida,"Behune Beach, Volusia County",Standing,M,Bitten,N,
1996.09.02.a,1996,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Sitting on surfboard,M,Injured,N,
1996.09.01.a,1996,Provoked,SOUTH AFRICA,KwaZulu-Natal,Hibberdene,Spearfishing,M,No injury,N,White shark
1996.08.29,1996,Unprovoked,USA,Hawaii,"Paukukalo, Maui",Body Boarding,M,Bitten,N,"Tiger shark, 2.4 m [8'] "
1996.08.13,1996,Unprovoked,USA,California,"Bird Rock, Tomales Point",Free diving for abalone,M,Injured,N,6 m [20'] white shark
1996.08.11,1996,Unprovoked,USA,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,M,No injury,N,1.8 m to 2.1 m [6' to 7'] hammerhead shark
1996.07.26,1996,Unprovoked,USA,Florida,"Wiggins Pass, Collier County",Standing,F,Unknown,N,
1996.07.23.b,1996,Unprovoked,OKINAWA,Miyako,Hirara City,Swimming,M,Fatal,Y,5 m [16.5'] white shark
1996.07.23.a,1996,Unprovoked,EGYPT / ISRAEL,"South Sinai, Gulf of Aqaba","1 km off the mouth of Marsa Bereika, north of Ras Mohammed",Free diving with a pod of dolphins,M,Bitten,N,said to involve an oceanic whitetip shark
1996.07.21,1996,Unprovoked,USA,Massachusetts,"Truro (Cape Cod), Barnstable County",Swimming,M,Injured,N,6' shark
1996.07.20,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,Injured,N,
1996.07.14,1996,Unprovoked,USA,Hawaii,"Nakalele Point, Maui",,0,Unknown,0,
1996.07.10,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,M,Bitten,N,
1996.07.04.b,1996,Unprovoked,USA,Florida,"Public Beach, Siesta Key, Sarasota County",Standing,F,Injured,N,5' to 6' shark
1996.07.04.a,1996,Unprovoked,BAHAMAS,Cat Cay,,Diving,M,Injured,N,
1996.06.25,1996,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Body surfing,F,Injured,N,
1996.06.06,1996,Unprovoked,AUSTRALIA,Victoria,"Suicide Point, Point Leo",Surfing,M,No injury,N,4 m white shark
1996.06.04,1996,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,LaMercy,Surfing,M,Unknown,N,
1996.05.28,1996,Unprovoked,SOUTH AFRICA,Western Cape Province,"The Steps, Wilderness",Surfing,M,Bitten,N,2.5 m [8.25'] white shark 
1996.05.18,1996,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,Bitten,N,1.2 m [4'] shark
1996.05.10,1996,Unprovoked,SOUTH KOREA,,,Shell Diving,M,Fatal,Y,
1996.05.07,1996,Unprovoked,USA,Florida,"Shark Shallows, Ponce Inlet, Volusia County",Surfing,M,Bitten,N,60 cm to 90 cm [2' to 3'] blacktip or spinner shark
1996.04.28.b,1996,Unprovoked,USA,Hawaii,"La'ie Point, O'ahu",,M,Unknown,0,
1996.04.25.b,1996,Unprovoked,AUSTRALIA,New South Wales,Mona Vale,Swimming,M,Injured,N,Wobbegong shark
1996.04.25.a,1996,Unprovoked,AUSTRALIA,New South Wales,Mona Vale,Swimming,F,Injured,N,Wobbegong shark
1996.04.07,1996,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,Fatal,Y,
1996.03.05,1996,Unprovoked,AUSTRALIA,Queensland,Heron Island,Swimming breast stoke,F,Injured,N,Tiger shark
1996.03.00,1996,Unprovoked,AUSTRALIA,New South Wales,Lord Howe Island,Fishing in knee-deep water,M,Bitten,N,1.5 m [5'] shark
1996.02.26,1996,Unprovoked,AUSTRALIA,New South Wales,"Charles Street Wharf, Parramatta River",Dived naked into the water on a bet,M,Bitten,N,Bronze whaler shark
1996.02.19.R,1996,Provoked,USA,Missouri,St. Louis,Swimming in fish tank,F,Injured,N,nurse shark
1996.02.10.c,1996,Unprovoked,PAPUA NEW GUINEA,Madang Province,Madang,,M,Fatal,Y,
1996.02.10.b,1996,Unprovoked,PAPUA NEW GUINEA,Madang Province,Madang,,0,Injured,N,
1996.02.10.a,1996,Unprovoked,PAPUA NEW GUINEA,Madang Province,Madang,Diving ,0,Fatal,Y,
1996.02.05,1996,Sea Disaster,DOMINICAN REPUBLIC,12 miles off the north coast,Boeing 757 enroute from Porta Plata,Boeing 757 enroute from Porta Plata plunged into the sea,0,Fatal,Y,
1996.02.04,1996,Unprovoked,AUSTRALIA,New South Wales,"Ned's Beach, Lord Howe Island",Swimming,M,Injured,N,"""reef shark"""
1996.01.23,1996,Provoked,USA,Florida,"Florida Keys, Monroe County",Wading,M,Bitten,N,"Nurse shark, 0.9 m  [3'] "
1996.01.22,1996,Unprovoked,AUSTRALIA,Queensland,"Brown's Inlet, Broadwater",Swimming,F,Injured,N,Bronze whaler shark
1996.01.16,1996,Unprovoked,USA,Hawaii,"KaelekiI Point, Maui",Swimming with mask & snorkel,M,Injured,N,Possibly a tiger shark
1996.01.14.b,1996,Unprovoked,AUSTRALIA,Western Australia,"Mutton Bird Island, Albany",,0,Unknown,0,
1996.01.12,1996,Boat,AUSTRALIA,New South Wales,Eight-mile reef off Port Kembla,Chumming for sharks,0,No injury,N,"Mako shark, 4.3 m [14']"
1996.01.10,1996,Unprovoked,REUNION,Saint-Paul ,Embouchure de l'étang de Saint Paul,Surfing,M,Fatal,Y,"Tiger shark, 300-kg [662-lb] "
1996.00.00.b,1996,Unprovoked,FIJI,Taveuni,,,M,Fatal,Y,"Tiger shark, 2.5 m [8.25'] "
1996.00.00.a,1996,Unprovoked,USA,North Carolina,,Surfing,M,Unknown,N,Tiger shark
1995.12.18,1995,Unprovoked,USA,Hawaii,Southwest of O'ahu,,M,Unknown,0,
1995.11.29,1995,Unprovoked,NEW ZEALAND,"Chatham Islands, east of New  Zealand",,"Diving, gathering shellfish",M,Injured,N,5 m [16.5'] white shark
1995.11.25.a,1995,Unprovoked,NORTHERN ARABIAN SEA,,,Fell off aircraft carrier,M,Bitten,N,
1995.11.17,1995,Unprovoked,AUSTRALIA,Queensland,Great Keppel Island,,M,Unknown,N,
1995.10.28.R,1995,Unprovoked,USA,Florida,,Boogie boarding,M,Injured,N,
1995.10.21,1995,Unprovoked,USA,Florida,"North Beach, St. Lucie County",Surfing,M,Bitten,N,
1995.10.11,1995,Unprovoked,AUSTRALIA,Queensland,"Pialba, Hervey Bay",Playing / standing,F,Injured,N,4 m shark
1995.10.01,1995,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,Injured,N,1.2 m to 1.5 m [4' to 5']   shark
1995.09.30.b,1995,Unprovoked,USA,Florida,"Crescent Beach, St. Augustine, St. Johns County",Surfing,M,Injured,N,1.5 to 1.8 m [5' to 6'] shark
1995.09.30.a,1995,Unprovoked,USA,Florida,"North Beach, Hutchinson Island, St. Lucie County",Surfing,M,Bitten,N,
1995.09.28,1995,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,M,Bitten,N,4 m [13'] white shark
1995.09.19.,1995,Unprovoked,USA,Florida,"Matanzas Bay Inlet, St. Johns County",Surfing,M,Injured,N,1.8 m [6'] shark
1995.09.17,1995,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,F,Bitten,N,
1995.09.16,1995,Unprovoked,REUNION,Saint-Denis,,Body-boarding,M,Fatal,Y,
1995.09.13,1995,Unprovoked,USA,Florida,"Alligator Reef, off Islamorada, Monroe County",Scuba diving,M,Fatal,Y,3 m to 3.7 m [10' to 12'] bull shark
1995.09.11,1995,Unprovoked,AUSTRALIA,Western Australia,"Honeymoon Island, near Hopetown",Abalone diving using Hookah (near calving whales),M,Fatal,Y,White shark
1995.09.03.b,1995,Unprovoked,USA,California,"Shelter Cove, Humboldt County",Abalone diving using Hookah (resting on the surface),M,Bitten,N,3 m to 4 m [10' to 13'] white shark
1995.08.31.b,1995,Unprovoked,USA,Florida,"North Beach Inlet, St. Lucie County",Surfing,M,Bitten,N,1.2 m to 1.5 m [4' to 5'] shark
1995.08.31.a,1995,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",On a float,M,Injured,N,
1995.08.27,1995,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Unknown,N,
1995.08.26/b,1995,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,M,Bitten,N,5' shark
1995.08.26.a,1995,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Surfing,M,Injured,N,"""a small shark"""
1995.08.25,1995,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Swimming,M,Bitten,N,1.2 m to 1.5 m [4' to 5'] shark
1995.08.22.c,1995,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming ,M,Bitten,N,"""sand"" shark"
1995.08.22.a,1995,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Surfing,M,Injured,N,"""small shark"""
1995.08.21,1995,Unprovoked,USA,North Carolina,Cape Lookout Bight,Diving,0,No injury,N,Two 1.2 m to 1.5 m [4' to 5'] sharks
1995.08.19,1995,Unprovoked,TONGA,Vavau,Near Tapana Island,Fishing,M,Injured,N,"""small shark"""
1995.08.15,1995,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",Wading,M,Injured,N,1.8 m [6'] shark
1995.08.10.b,1995,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Injured,N,
1995.08.10.a,1995,Unprovoked,USA,South Carolina,"Ocean Lakes Campground, south of Myrtle Beach, Horry County","""Riding waves on a board""",F,Bitten,N,Blacktip shark
1995.08.07,1995,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Body boarding,M,Bitten,N,1.2 m to 1.5 m [4' to 5'] shark
1995.07.28.e,1995,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
1995.07.28.d,1995,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
1995.07.28.c,1995,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
1995.07.28.b,1995,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,Injured,N,
1995.07.28.a,1995,Unprovoked,USA,South Carolina,"Pawleys Island, Georgetown County",,M,Bitten,N,
1995.07.24,1995,Unprovoked,USA,South Carolina,"Pawleys Island, Georgetown County",Swimming,F,Bitten,N,
1995.07.23,1995,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Body boarding,M,Bitten,N,
1995.07.07,1995,Unprovoked,BRAZIL,Pernambuco,Candeias,Surfing,M,Fatal,Y,
1995.07.06,1995,Unprovoked,USA,Texas,Port Aransas,Surfing,M,Bitten,N,
1995.07.03,1995,Provoked,USA,Mississippi,"Cat Island, Harrison County",Fishing,F,Injured,N,Blacktip shark
1995.07.00,1995,Provoked,USA,South Carolina,"Off 29th Avenue, Myrtle Beach, Horry County",Jumped off surfboard & landed on the shark,M,Bitten,N,
1995.06.30,1995,Unprovoked,USA,California,"Bluefish Cove, Pt. Lobos State Park, Monterey County",Scuba diving (ascending using scooter),M,Injured,N,6 m [20'] white shark
1995.06.24,1995,Unprovoked,USA,California,"LaJolla Shores, San Diego County",Kayaking,F,Injured,N,White shark (tooth fragment recovered)
1995.06.23,1995,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Playing / jumping,M,Bitten,N,"""sand"" shark"
1995.06.17.b,1995,Unprovoked,USA,South Carolina,"Garden City Beach, Horry County",Surfing,M,Bitten,N,
1995.06.17.a,1995,Unprovoked,USA,Florida,"Jensen Beach Park, Martin County",Swimming,M,Bitten,N,1.8 m [6'] shark
1995.06.16,1995,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Swimming,F,Bitten,N,6' shark
1995.06.14,1995,Unprovoked,USA,Hawaii,"Opposite Grand Wailea Resort, Wailea, Maui",Swimming,M,Injured,N,"Tiger shark, 3.7 m [12'] "
1995.06.13,1995,Unprovoked,HONG KONG,Clearwater Bay,First Beach,Swimming,F,Fatal,Y,Though to involve a tiger shark
1995.06.02,1995,Unprovoked,HONG KONG,New Territories,Sheung Sze Wan Beach,Swimming,M,Fatal,Y,1.8 m to 2.1 m [6' to 7'] shark
1995.05.31,1995,Unprovoked,HONG KONG,New Territories,Sai Kung Beach,Diving,0,Fatal,Y,
1995.05.26,1995,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,Bitten,N,Possibly a bull shark
1995.05.24,1995,Unprovoked,FIJI,Yasawa Islands,Waya Island,Sleeping in anchored boat,M,Fatal,Y,3.7 m [12'] shark
1995.05.18,1995,Unprovoked,AUSTRALIA,Western Australia,"Bernier Island, Shark Bay",,0,Unknown,0,
1995.05.12,1995,Unprovoked,SOUTH KOREA,,Jangkodo Island,Diving for abalone,F,Fatal,Y,4 m shark
1995.04.13,1995,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",,M,Injured,N,
1995.04.09.b,1995,Unprovoked,AUSTRALIA,New South Wales,"Honeysuckle Point, Eden",Diving,M,No injury,N,Wobbegong shark
1995.04.09.a,1995,Unprovoked,JAPAN,Aichi Prefecture,Atsumi Peninsula,Scuba diving for bivalves,M,Fatal,Y,6 m [20'] white shark
1995.03.21,1995,Unprovoked,AUSTRALIA,New South Wales,"Clark Island, Sydney Harbour",Surf skiing,F,No injury,N,
1995.03.11,1995,Unprovoked,AUSTRALIA,South Australia,Cactus Beach,Surfing,M,Injured,N,"Bronze whaler shark, 2 m "
1995.03.05,1995,Unprovoked,BRAZIL,Maranhão,"Praia do Olho D'Água, São Luis",Swimming,0,Fatal,Y,
1995.02.19,1995,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kidds Beach,Swimming,M,Injured,N,Raggedtooth shark
1995.02.00,1995,Unprovoked,VENEZUELA,,,Wind surfing,M,Bitten,N,
1995.01.24,1995,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Swimming,M,Fatal,Y,"Tiger shark, 1.8 m [6'] "
1995.01.02,1995,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,M,Bitten,N, 
1995.00.00.d,1995,Provoked,AUSTRALIA,Queensland,Gladstone Reef,Snorkeling,M,No injury,N,Leopard shark
1995.00.00.b,1995,Unprovoked,USA,South Carolina,"Pawleys Island, Georgetown County",,M,Unknown,0,
1994.12.30,1994,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Body boarding,M,No injury,N,5.5 m [18'] white shark
1994.12.18,1994,Unprovoked,USA,Hawaii,"Kinikini, Mana, Kaua'i","Surfing, sitting on board",0,No injury,N,
1994.12.13,1994,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,M,Unknown,N,
1994.12.11,1994,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,M,Bitten,N,
1994.12.10,1994,Unprovoked,VANUATU,Tafea Province,Aniwa Island,,0,Unknown,0,
1994.12.09.a,1994,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Commercial diver (submerged or treading water),M,Fatal,Y,5 m to 5.5 m [16.5' to 18'] white shark
1994.12.01,1994,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,M,Fatal,Y,
1994.11.25.a,1994,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Spearfishing,M,No injury,N,"Raggedtooth shark, 2.7 m [9'] "
1994.11.13,1994,Unprovoked,USA,Hawaii,"Off the Hanalei River, Kaua'i","Surfing, paddling seawards",F,Bitten,N,2.7 m [9'] shark
1994.11.06.a,1994,Unprovoked,USA,Hawaii,"Kealia Beach, Kaua'i",Surfing,0,No injury,N,
1994.10.18,1994,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,0,Unknown,N,
1994.10.17,1994,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,M,Unknown,N,
1994.10.08,1994,Provoked,USA,Florida,"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Wading,F,Bitten,N,Thought to involve a small sand shark
1994.10.05,1994,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,Bitten,N,
1994.09.26,1994,Unprovoked,USA,South Carolina,"North Forest Beach, near Hilton Head, Beaufort County",Swimming,F,Bitten,N,
1994.09.21,1994,Unprovoked,USA,Oregon,"Short Sand Beach, Oswald West State Park",Surfing,M,No injury,N,5 m [16.5'] white shark
1994.09.11.R,1994,Sea Disaster,USA,Florida,Florida Straits,Adrift on refugee raft,M,Fatal,Y,
1994.09.05,1994,Unprovoked,USA,Hawaii,Makaha Surf Beach,Jumped off rocks into white water,F,Bitten,N,Small shark
1994.08.22,1994,Unprovoked,JAPAN,Kagoshima Prefecture,Tatsugo-cho,,0,Unknown,N,
1994.07.24,1994,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Severed,N,
1994.07.09.d,1994,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,Fatal,Y,
1994.07.09.c,1994,Unprovoked,REUNION,Saint-Denis,Barachois,Windsurfing,M,Fatal,Y,3 to 3.5 m [10' to 11.5'] bull shark
1994.07.09.b,1994,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,Fatal,Y,4 m [13'] white shark
1994.07.09.a,1994,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,Bitten,N,4 m [13'] white shark
1994.07.08.b,1994,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Unknown,N,
1994.07.08.a,1994,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,"""small shark"""
1994.06.24,1994,Unprovoked,BAHAMAS,Grand Bahama Island,Freeport,Spearfishing,M,Severed,N,1.8 m [6'] shark
1994.05.31.b,1994,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Injured,N,
1994.05.31.a,1994,Unprovoked,USA,Florida," Daytona Beach, Volusia County",Surfing,M,Injured,N,1.2 m [4'] spinner shark
1994.05.28,1994,Unprovoked,USA,Florida,"3 miles east of Jacksonville Beach, Duval County",Spearfishing,M,Bitten,N,2.1 m [7'] shark
1994.05.24,1994,Unprovoked,USA,Florida,"Spessard Holland Park, Melbourne Beach, Brevard County",Wading,F,Injured,N,1.2 m [4'] shark
1994.05.23,1994,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Injured,N,
1994.05.15,1994,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,>1.8 m [6'] shark
1994.04.15,1994,Unprovoked,REUNION,Saint-Joseph,Lieu-dit Cayenne,,0,Fatal,Y,"3 m [10'], 200-kg [441-lb] bull shark"
1994.04.06,1994,Unprovoked,BAHAMAS,,Rum Cay,Wading,M,Bitten,N,2' to 3' shark
1994.04.03,1994,Unprovoked,USA,Florida,"Miami Beach, Dade County",Freediving for seashells,M,Injured,N,
1994.04.02,1994,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,Fatal,Y,4.9 m white shark
1994.03.23.b,1994,Unprovoked,CHILE,,300 miles east of Easter Island,Swimming alongside NOAA research vessel Discoverer,F,Severed,N,"3.6 m [11'9""] white shark"
1994.03.23.a,1994,Unprovoked,CHILE,,300 miles East of Easter Island,Swimming alongside NOAA research vessel Discoverer,M,Bitten,N,"3.6 m [11'9""] white shark"
1994.03.07,1994,Provoked,USA,California,,Removing shark from tank in nightclub ,M,Injured,N,"Lemon shark, 4' "
1994.03.01,1994,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Bitten,N,2 m shark
1994.02.27,1994,Unprovoked,SOUTH AFRICA,Western Cape Province,Saxon Reef,Spearfishing,M,Bitten,N,3 m [10'] shark
1994.02.19,1994,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,Bitten,N,1.2 m [4'] shark
1994.02.13,1994,Provoked,USA,Hawaii,Kailua Bay,Fishing,M,Bitten,N,
1994.02.12,1994,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Beachview Holiday Resort,Surfing,M,Bitten,N,3 m [10'] white shark
1994.02.00,1994,Unprovoked,NEW CALEDONIA,South Province,Cap Goulvain,Fishing,0,Fatal,Y,
1994.01.31.b,1994,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,Bitten,N,
1994.01.31.a,1994,Unprovoked,USA,Hawaii,"Velzyland, north shore of O'ahu",Surfing,M,Fatal,Y,Tiger shark
1994.01.30,1994,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Windsurfing,M,Bitten,N,
1994.01.12.R,1994,Boat,AUSTRALIA,Western Australia,Albany,Fishing,0,No injury,N,White shark
1994.01.09,1994,Unprovoked,AUSTRALIA,Queensland,"Katana Downs Reach, Brisbane River","Swimming, after falling off towed kneeboard",M,Bitten,N,1.5 m shark
1994.01.03,1994,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Hibberdene,Swimming ,M,Bitten,N,"1.3 m [4'3""] shark"
1994.00.00.b,1994,Unprovoked,HONG KONG,,,Playing volleyball with friends,F,Injured,N,Tiger shark said to be 5 to 7 m [16.5' to 23'] 
